ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
25,MASSACHUSETTS,MA,Dukes,25007,"Dukes County, Massachusetts",103.2052785,17313,0,17789,48,6367,467,1368,506,286,157,43822,3869,575,232,3846,92,3282,99,1469,313,423,162,2415,183,140,116,184,95,45,47,71,73,188,123,259,127,8,2.9,3.2,1.8,43822,3869,4.5,1.8,22.2,0.5,19,0.6,8.5,1.8,6.6,2.5,13.9,1.1,0.8,0.7,1,0.5,0.3,0.3,1.1,1.1,3,1.9,1.5,0.7,0.3077,0.0769,0.2308,0,0.6154,0.0769,0.9231,0.3846,0,0.2308,1.5385,0.3077,0.2308,0,0.2308,0.0769,0.0769,0.0769,0.3077,0,0.0769,0.5384,0,2.9231,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,860,362,5,2.1,16872
25,MASSACHUSETTS,MA,Barnstable,25001,"Barnstable County, Massachusetts",394.2288409,213690,0,163181,179,94292,1216,14799,1178,5207,521,42578,890,7448,608,62229,119,33113,0,27848,1050,4777,473,21919,449,1743,296,6489,487,783,157,1086,238,4759,413,2781,369,7,0.6,4.7,0.5,42578,890,4.5,0.4,29.1,0.1,15.5,0,13.2,0.5,5.1,0.5,10.3,0.2,0.8,0.1,4,0.3,0.5,0.1,1.2,0.3,5,0.4,1.3,0.2,0.0769,0.2308,0.3077,0,0.6154,0.0769,1,0.0769,0.6923,0,1.7692,0.4615,0.0769,0,0.0769,0,0.1538,0.3077,0.3846,0.0769,0,0.923,0.0769,3.3845,0.0769,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6858,730,3.2,0.3,202144
25,MASSACHUSETTS,MA,Nantucket,25019,"Nantucket County, Massachusetts",46.1351593,11101,0,12191,60,3722,243,947,359,183,100,51270,4137,380,123,1582,0,2331,0,1037,223,295,105,1654,370,141,101,46,28,83,64,26,23,238,97,287,114,8.6,3.3,2.8,1.5,51270,4137,4.7,1.5,14.3,0,21,0,9.4,2,7.9,2.8,14.9,3.3,1.4,1,0.4,0.2,0.7,0.5,0.7,0.6,6.4,2.5,2.6,1,0.3846,0,0.0769,0.1538,0.6153,0,0.0769,0.6154,0.1538,0.4615,1.3076,0.1538,0.3077,0.3077,0.6154,0.3846,0,0.3846,0,0.2308,0.3846,1,0.1538,3.5383,0.1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,167,4.5,1.5,11291
25,MASSACHUSETTS,MA,Norfolk,25021,"Norfolk County, Massachusetts",396.0969232,698249,0,277275,413,263551,1031,44011,2445,19548,1115,52036,623,29903,1387,113400,61,148906,80,67011,1705,13646,817,169330,751,21608,1210,50401,1189,956,180,3879,449,24529,925,18470,971,6.5,0.4,5,0.3,52036,623,6.1,0.3,16.2,0.1,21.3,0,9.7,0.2,5.2,0.3,24.3,0.1,3.3,0.2,18.2,0.4,0.3,0.1,1.5,0.2,9.3,0.3,2.6,0.1,0,0.3077,0,0.3077,0.6154,0.0769,0.4615,0.6923,0.2308,0.0769,1.4615,0.2308,0.6923,0.5385,1.2308,0.6923,0.8462,0.0769,0.6154,0.5385,0.3846,2.4616,0.3846,5.7693,0.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13782,1023,2,0.1,661559
25,MASSACHUSETTS,MA,Franklin,25011,"Franklin County, Massachusetts",699.2226088,70935,0,34071,153,30328,460,7226,701,2009,286,34202,1277,3670,381,14365,95,12560,48,10560,432,2120,212,6520,94,803,221,2114,294,925,145,314,96,2117,258,1655,314,10.4,1,5.2,0.7,34202,1277,6.9,0.7,20.3,0.1,17.7,0.1,15.1,0.6,7,0.7,9.2,0.1,1.2,0.3,6.2,0.9,2.7,0.4,1,0.3,7,0.8,2.3,0.4,0.4615,0.3846,0.8462,0.3846,2.0769,0.4615,0.7692,0.3077,0.8462,0.3077,2.2308,0.6154,0,0.2308,0.2308,0.0769,0.2308,1,0.1538,0.3077,0.2308,1.9231,0.2308,6.4616,0.3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1511,310,2.2,0.4,59160
25,MASSACHUSETTS,MA,Middlesex,25017,"Middlesex County, Massachusetts",817.8401031,1595192,0,632582,586,600032,1943,122070,3555,38575,1514,49669,376,76765,2168,234069,32,321214,0,146099,2506,35341,1375,438354,1179,61303,2292,120397,2068,2354,293,11212,740,63306,1356,58705,1405,7.9,0.2,4.2,0.2,49669,376,6.9,0.2,14.7,0.1,20.1,0,9.2,0.2,5.9,0.2,27.5,0.1,4.1,0.2,19,0.3,0.4,0.1,1.9,0.1,10.6,0.2,3.7,0.1,0.2308,0.1538,0.1538,0.3846,0.923,0.3077,0.1538,0.4615,0.0769,0.1538,0.846,0,0.7692,0.6923,1.4615,0.7692,0.9231,0.2308,0.6923,0.6923,0.7692,3.3077,0.8462,6.5382,0.3846,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,40992,2393,2.6,0.2,1543265
25,MASSACHUSETTS,MA,Hampshire,25015,"Hampshire County, Massachusetts",527.2325285,161159,0,63667,348,58665,647,18349,1322,5320,592,33605,801,5559,523,25710,98,24335,25,17177,888,4178,458,25826,119,1653,328,6530,599,685,150,590,165,4789,513,22877,756,13.3,0.9,5.9,0.6,33605,801,5.6,0.5,16,0.1,15.1,0,10.8,0.6,7.1,0.8,16,0.1,1.1,0.2,10.3,0.9,1.1,0.2,1,0.3,8.2,0.9,14.2,0.5,0.8462,0.7692,0.9231,0.2308,2.7693,0.6923,0.3077,0,0.3077,0.3846,1,0.0769,0.3846,0.1538,0.5384,0.2308,0.5385,0.6154,0.1538,0.3846,1,2.6923,0.5385,7,0.4615,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3772,527,2.4,0.3,152419
25,MASSACHUSETTS,MA,Plymouth,25023,"Plymouth County, Massachusetts",658.9394949,512135,0,205841,345,186306,956,38264,2427,15159,810,41343,498,25173,1102,87718,73,112523,58,56464,1725,15516,869,96010,1111,11649,1059,16492,779,5198,395,2206,330,11133,818,11399,826,7.6,0.5,5.4,0.3,41343,498,7.1,0.3,17.1,0.1,22,0,11.2,0.3,8.3,0.5,18.7,0.2,2.4,0.2,8,0.4,2.5,0.2,1.2,0.2,6,0.4,2.2,0.2,0.1538,0.4615,0.3846,0.5385,1.5384,0.3846,0.6923,1,0.3846,0.5385,2.6154,0.6923,0.5385,0.4615,1,0.4615,0.3846,0.9231,0.3846,0.1538,0.1538,1.9999,0.3077,7.1537,0.5385,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,11612,966,2.3,0.2,422995
25,MASSACHUSETTS,MA,Berkshire,25003,"Berkshire County, Massachusetts",926.874879,127328,0,69078,244,55167,715,13759,1122,4081,468,34287,696,8271,645,28064,111,22133,9,19657,886,4634,462,14697,304,1799,456,5152,446,1546,210,398,114,5310,468,6902,530,11.4,0.9,6,0.7,34287,696,8.9,0.7,22,0.1,17.4,0,15.7,0.7,8.4,0.8,11.5,0.2,1.5,0.4,7.5,0.6,2.2,0.3,0.7,0.2,9.6,0.8,5.4,0.4,0.6923,0.8462,0.6923,0.6154,2.8462,0.7692,0.8462,0.2308,0.9231,0.6154,2.6155,0.8462,0.1538,0.3846,0.5384,0.2308,0.3077,0.8462,0,0.6154,0.8462,2.6155,0.4615,8.6156,0.6154,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3696,649,3,0.5,129162
25,MASSACHUSETTS,MA,Worcester,25027,"Worcester County, Massachusetts",1510.648816,822280,0,333830,426,307294,1353,82745,2770,24530,1281,36169,343,54112,1523,122402,20,176734,78,97081,2247,25901,1128,188358,685,25951,1432,37311,1038,2747,307,6361,598,28421,1263,29935,1039,10.4,0.4,5.5,0.3,36169,343,9.6,0.3,14.9,0.1,21.5,0,12,0.3,8.4,0.4,22.9,0.1,3.3,0.2,11.2,0.3,0.8,0.1,2.1,0.2,9.2,0.4,3.6,0.1,0.4615,0.6154,0.6154,0.6923,2.3846,0.6154,0.2308,0.7692,0.5385,0.6154,2.1539,0.5385,0.6154,0.5385,1.1539,0.5385,0.6154,0.5385,0.7692,0.4615,0.6923,3.0769,0.6923,8.7693,0.6923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20378,1437,2.5,0.2,726613
